method,source,radius_m,failure_rate
MAPPO-H,native_ns3,100,0.0001139322916666663
MAPPO-H,native_ns3,150,0.000649181547619037
MAPPO-H,native_ns3,200,0.0020758928571428525
MAPPO-H,native_ns3,250,0.005186476934523805
MAPPO-H,native_ns3,300,0.011173270089285717
MAPPO-H,native_ns3,350,0.021384858630952384
MAPPO-M,native_ns3,100,6.231398809523947e-05
MAPPO-M,native_ns3,150,0.0006273251488095156
MAPPO-M,native_ns3,200,0.0021005394345238074
MAPPO-M,native_ns3,250,0.005415271577380947
MAPPO-M,native_ns3,300,0.011482979910714284
MAPPO-M,native_ns3,350,0.02277250744047619
CPPO,python_reference,100,0.1241727120535714
CPPO,python_reference,150,0.14510044642857145
CPPO,python_reference,200,0.1640220424107143
CPPO,python_reference,250,0.19003348214285715
CPPO,python_reference,300,0.2214467075892856
CPPO,python_reference,350,0.2576897321428572
DQN,python_reference,100,0.15902483258928574
DQN,python_reference,150,0.1849344308035715
DQN,python_reference,200,0.20075334821428584
DQN,python_reference,250,0.21554268973214288
DQN,python_reference,300,0.2364355468750001
DQN,python_reference,350,0.26101143973214286
MADDPG,python_reference,100,0.32840541294642855
MADDPG,python_reference,150,0.36251395089285693
MADDPG,python_reference,200,0.39163225446428584
MADDPG,python_reference,250,0.4200683593749999
MADDPG,python_reference,300,0.45494280133928583
MADDPG,python_reference,350,0.4968652343750001
BCD,python_reference,100,0.26148018973214293
BCD,python_reference,150,0.2901060267857143
BCD,python_reference,200,0.3173507254464287
BCD,python_reference,250,0.31595703124999985
BCD,python_reference,300,0.3068749999999999
BCD,python_reference,350,0.30810965401785717
Random,python_reference,100,0.22310128348214298
Random,python_reference,150,0.26039062500000015
Random,python_reference,200,0.28223493303571423
Random,python_reference,250,0.3026506696428572
Random,python_reference,300,0.33053152901785715
Random,python_reference,350,0.35916713169642855
