power_w,gamma_db,failure_rate
20,3,0.009403831845238091
30,3,0.005771949404761903
40,3,0.004228515624999996
50,3,0.003261253720238095
60,3,0.0024214099702380898
20,4,0.010605933779761906
30,4,0.006114676339285709
40,4,0.004393601190476191
50,4,0.0037304687499999985
60,4,0.0027734374999999964
20,5,0.011981026785714282
30,5,0.007627883184523807
40,5,0.005186476934523805
50,5,0.0042466517857142816
60,5,0.0033193824404761864
20,6,0.015421781994047618
30,6,0.009049944196428567
40,6,0.0067289806547619
50,6,0.004964192708333331
60,6,0.004018322172619044
20,7,0.01919921875
30,7,0.01104957217261905
40,7,0.007465587797619046
50,7,0.005523623511904761
60,7,0.004692615327380949
