method,power_w,failure_rate
MAPPO-H,20,0.011981026785714282
MAPPO-H,30,0.007627883184523807
MAPPO-H,40,0.005186476934523805
MAPPO-H,50,0.0042466517857142816
MAPPO-H,60,0.0033193824404761864
MAPPO-R,20,0.7272591145833335
MAPPO-R,30,0.7225855654761905
MAPPO-R,40,0.7219275483630954
MAPPO-R,50,0.7197042410714286
MAPPO-R,60,0.7206208147321428
MAPPO-S,20,0.012485584077380952
MAPPO-S,30,0.007835286458333332
MAPPO-S,40,0.005114397321428567
MAPPO-S,50,0.003844401041666664
MAPPO-S,60,0.003055710565476185
