method,k,training_round_bin,reward_mean
MAPPO-H,4,0,-3.367910466048324
MAPPO-H,4,50,-0.15891939015828774
MAPPO-H,4,100,-0.25176351006068953
MAPPO-H,4,150,-0.10652876477391239
MAPPO-H,4,200,-0.08747527976630941
MAPPO-H,4,250,-0.10594365144321174
MAPPO-H,4,300,-0.14019932700425836
MAPPO-H,4,350,-0.10150395939244913
MAPPO-H,4,400,-0.18754993432094033
MAPPO-H,4,450,-0.09418453375090594
MAPPO-H,4,500,-0.13843766069667793
MAPPO-H,4,550,-0.16602064387380314
MAPPO-H,4,600,-0.1565390111011149
MAPPO-H,4,650,-0.10343821745743832
MAPPO-H,4,700,-0.11923807392528664
MAPPO-H,4,750,-0.19921059561054544
MAPPO-H,4,800,-0.6259288403255509
MAPPO-H,4,850,-0.19592612958106295
MAPPO-H,4,900,-0.3072118640897373
MAPPO-H,4,950,-0.09095015698391097
MAPPO-H,8,0,-6.671455568376922
MAPPO-H,8,50,-0.4430799536841576
MAPPO-H,8,100,-0.6706874360340611
MAPPO-H,8,150,-0.32876348881335604
MAPPO-H,8,200,-0.4530667327445414
MAPPO-H,8,250,-0.41284322680573715
MAPPO-H,8,300,-0.7853551400405367
MAPPO-H,8,350,-0.3868240185454755
MAPPO-H,8,400,-0.44101201401207324
MAPPO-H,8,450,-0.46366791779657196
MAPPO-H,8,500,-1.0273324472869931
MAPPO-H,8,550,-0.5753520061982317
MAPPO-H,8,600,-0.5310997940556771
MAPPO-H,8,650,-0.5781203677691774
MAPPO-H,8,700,-0.44180446309183824
MAPPO-H,8,750,-0.4500682551726978
MAPPO-H,8,800,-2.9821478991150245
MAPPO-H,8,850,-0.47343479368299674
MAPPO-H,8,900,-0.8820133718354386
MAPPO-H,8,950,-0.7858773157580056
MAPPO-H,12,0,-10.390541576354895
MAPPO-H,12,50,-1.1377254684269182
MAPPO-H,12,100,-1.0381597449026974
MAPPO-H,12,150,-0.9880377951606676
MAPPO-H,12,200,-0.995054607366978
MAPPO-H,12,250,-0.80224106050121
MAPPO-H,12,300,-1.3486732874116913
MAPPO-H,12,350,-0.7178549040066018
MAPPO-H,12,400,-0.9298252694910968
MAPPO-H,12,450,-1.9186079778880072
MAPPO-H,12,500,-1.167147569717675
MAPPO-H,12,550,-0.8653258424761212
MAPPO-H,12,600,-1.8592210150714235
MAPPO-H,12,650,-1.45879302435318
MAPPO-H,12,700,-1.0877362472520886
MAPPO-H,12,750,-1.1212162180534353
MAPPO-H,12,800,-4.299789032584883
MAPPO-H,12,850,-1.0549741581310268
MAPPO-H,12,900,-1.5313126726659017
MAPPO-H,12,950,-0.9379634728738697
MAPPO-M,4,0,-3.4038551001327715
MAPPO-M,4,50,-0.16209082029757715
MAPPO-M,4,100,-0.266664897998071
MAPPO-M,4,150,-0.10631405051925202
MAPPO-M,4,200,-0.08777744672427158
MAPPO-M,4,250,-0.10787807765517039
MAPPO-M,4,300,-0.1332341951850686
MAPPO-M,4,350,-0.10499870166419013
MAPPO-M,4,400,-0.20550700981824577
MAPPO-M,4,450,-0.08980241094596915
MAPPO-M,4,500,-0.1293051131131381
MAPPO-M,4,550,-0.16476062864332683
MAPPO-M,4,600,-0.13909412002636207
MAPPO-M,4,650,-0.10174890591947734
MAPPO-M,4,700,-0.10549832602828871
MAPPO-M,4,750,-0.19613519196264254
MAPPO-M,4,800,-0.750677600668887
MAPPO-M,4,850,-0.16261606136151074
MAPPO-M,4,900,-0.23058786973561182
MAPPO-M,4,950,-0.06584718586701968
MAPPO-M,8,0,-6.674263012526286
MAPPO-M,8,50,-0.4502994361553534
MAPPO-M,8,100,-0.698291472164016
MAPPO-M,8,150,-0.326680060826457
MAPPO-M,8,200,-0.5092264102368197
MAPPO-M,8,250,-0.4061633944920218
MAPPO-M,8,300,-0.7402308724619722
MAPPO-M,8,350,-0.3809261384187263
MAPPO-M,8,400,-0.45930145350730034
MAPPO-M,8,450,-0.4751155665342658
MAPPO-M,8,500,-1.1572890002226657
MAPPO-M,8,550,-0.5232985627884933
MAPPO-M,8,600,-0.4989838157103323
MAPPO-M,8,650,-0.5790694597461914
MAPPO-M,8,700,-0.441417139614427
MAPPO-M,8,750,-0.4250756840542815
MAPPO-M,8,800,-2.280233061270695
MAPPO-M,8,850,-0.4962585034011291
MAPPO-M,8,900,-0.9414361291970609
MAPPO-M,8,950,-0.9041702983595261
MAPPO-M,12,0,-10.367527437637865
MAPPO-M,12,50,-1.1379990247070042
MAPPO-M,12,100,-1.0783582474060773
MAPPO-M,12,150,-0.950636766991543
MAPPO-M,12,200,-0.9727986386546972
MAPPO-M,12,250,-0.7881319454377411
MAPPO-M,12,300,-1.456559575993484
MAPPO-M,12,350,-0.7240864494053912
MAPPO-M,12,400,-0.9094874741293355
MAPPO-M,12,450,-1.796078876265145
MAPPO-M,12,500,-1.1949882973756314
MAPPO-M,12,550,-0.9205185322193266
MAPPO-M,12,600,-1.7342348896199955
MAPPO-M,12,650,-1.4513910833019055
MAPPO-M,12,700,-1.023506003510265
MAPPO-M,12,750,-1.1246562181473359
MAPPO-M,12,800,-4.380304185092951
MAPPO-M,12,850,-1.178371973674365
MAPPO-M,12,900,-1.7917952066095812
MAPPO-M,12,950,-1.0724701697698118
