method,source,k,failure_rate
MAPPO-H,native_ns3,2,0.0031696428571428574
MAPPO-H,native_ns3,4,0.0036430431547619115
MAPPO-H,native_ns3,6,0.004585193452380957
MAPPO-H,native_ns3,8,0.005186476934523805
MAPPO-H,native_ns3,10,0.008116071428571429
MAPPO-H,native_ns3,12,0.008926711309523808
MAPPO-M,native_ns3,2,0.0030245535714285743
MAPPO-M,native_ns3,4,0.0032319568452381
MAPPO-M,native_ns3,6,0.0035652281746031828
MAPPO-M,native_ns3,8,0.005415271577380947
MAPPO-M,native_ns3,10,0.008659970238095241
MAPPO-M,native_ns3,12,0.008466331845238097
CPPO,python_reference,2,0.7136160714285716
CPPO,python_reference,4,0.48486049107142853
CPPO,python_reference,6,0.5941778273809524
CPPO,python_reference,8,0.19022321428571426
CPPO,python_reference,10,0.4631071428571429
CPPO,python_reference,12,0.33707496279761917
DQN,python_reference,2,0.2605357142857143
DQN,python_reference,4,0.21529854910714286
DQN,python_reference,6,0.22896391369047614
DQN,python_reference,8,0.21727260044642857
DQN,python_reference,10,0.20887499999999992
DQN,python_reference,12,0.21613746279761903
MADDPG,python_reference,2,0.7179017857142859
MADDPG,python_reference,4,0.5453404017857143
MADDPG,python_reference,6,0.7122805059523811
MADDPG,python_reference,8,0.42160016741071416
MADDPG,python_reference,10,0.6353872767857146
MADDPG,python_reference,12,0.5255924479166666
BCD,python_reference,2,0.5287109375
BCD,python_reference,4,0.4002873883928569
BCD,python_reference,6,0.3532049851190476
BCD,python_reference,8,0.30107421874999996
BCD,python_reference,10,0.27390290178571425
BCD,python_reference,12,0.2635584077380954
Random,python_reference,2,0.3049665178571428
Random,python_reference,4,0.30464843749999987
Random,python_reference,6,0.3028199404761903
Random,python_reference,8,0.3050306919642857
Random,python_reference,10,0.3039263392857142
Random,python_reference,12,0.3027901785714284
