method,source,metric,k,value
MAPPO-H,native_ns3,latency_violation_rate,2,0.0004371279761904762
MAPPO-H,native_ns3,latency_violation_rate,4,0.0015234374999999998
MAPPO-H,native_ns3,latency_violation_rate,6,0.0021943204365079366
MAPPO-H,native_ns3,latency_violation_rate,8,0.003268694196428571
MAPPO-H,native_ns3,latency_violation_rate,10,0.005690104166666667
MAPPO-H,native_ns3,latency_violation_rate,12,0.006611793154761905
MAPPO-M,native_ns3,latency_violation_rate,2,0.0005078124999999999
MAPPO-M,native_ns3,latency_violation_rate,4,0.0012983630952380953
MAPPO-M,native_ns3,latency_violation_rate,6,0.0018396577380952383
MAPPO-M,native_ns3,latency_violation_rate,8,0.0035146949404761905
MAPPO-M,native_ns3,latency_violation_rate,10,0.005814360119047619
MAPPO-M,native_ns3,latency_violation_rate,12,0.0064127604166666664
CPPO,python_reference,latency_violation_rate,2,2.232142857142857e-05
CPPO,python_reference,latency_violation_rate,4,0.0003962053571428571
CPPO,python_reference,latency_violation_rate,6,0.0003831845238095237
CPPO,python_reference,latency_violation_rate,8,0.001607142857142857
CPPO,python_reference,latency_violation_rate,10,0.0009754464285714282
CPPO,python_reference,latency_violation_rate,12,0.001772693452380953
MAPPO-H,native_ns3,reliability_violation_rate,2,0.002976190476190476
MAPPO-H,native_ns3,reliability_violation_rate,4,0.002632998511904762
MAPPO-H,native_ns3,reliability_violation_rate,6,0.003004092261904762
MAPPO-H,native_ns3,reliability_violation_rate,8,0.002734840029761905
MAPPO-H,native_ns3,reliability_violation_rate,10,0.003597842261904762
MAPPO-H,native_ns3,reliability_violation_rate,12,0.0035593377976190477
MAPPO-M,native_ns3,reliability_violation_rate,2,0.0027752976190476186
MAPPO-M,native_ns3,reliability_violation_rate,4,0.0024404761904761904
MAPPO-M,native_ns3,reliability_violation_rate,6,0.0021211557539682537
MAPPO-M,native_ns3,reliability_violation_rate,8,0.0028166852678571433
MAPPO-M,native_ns3,reliability_violation_rate,10,0.004217261904761905
MAPPO-M,native_ns3,reliability_violation_rate,12,0.0032220362103174602
CPPO,python_reference,reliability_violation_rate,2,0.7136049107142859
CPPO,python_reference,reliability_violation_rate,4,0.48465680803571426
CPPO,python_reference,reliability_violation_rate,6,0.5939285714285714
CPPO,python_reference,reliability_violation_rate,8,0.189404296875
CPPO,python_reference,reliability_violation_rate,10,0.4627310267857143
CPPO,python_reference,reliability_violation_rate,12,0.33622674851190487
